name,acronym,AP_location,DV_location,ML_location,avIndex
Nucleus of the solitary tract,NTS,-6.52,5.26,-1.18,949
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,6.67,-1.18,993
Nucleus of the solitary tract,NTS,-6.52,5.31,-1.18,949
Nucleus of the solitary tract,NTS,-6.52,5.21,-1.17,949
Intermediate reticular nucleus,IRN,-6.52,6.12,-1.16,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,7.07,-1.17,993
Intermediate reticular nucleus,IRN,-6.52,6.27,-1.15,979
Nucleus of the solitary tract,NTS,-6.52,5.48,-1.14,949
Parvicellular reticular nucleus,PARN,-6.52,5.78,-1.15,989
Intermediate reticular nucleus,IRN,-6.52,6.47,-1.15,979
Intermediate reticular nucleus,IRN,-6.52,6.58,-1.15,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,6.98,-1.14,993
Intermediate reticular nucleus,IRN,-6.52,6.2,-1.13,979
Intermediate reticular nucleus,IRN,-6.52,6.4,-1.13,979
Parvicellular reticular nucleus,PARN,-6.52,5.82,-1.12,989
Intermediate reticular nucleus,IRN,-6.52,6.33,-1.1,979
Nucleus of the solitary tract,NTS,-6.52,5.31,-1.1,949
Parvicellular reticular nucleus,PARN,-6.52,5.77,-1.1,989
Parvicellular reticular nucleus,PARN,-6.52,5.88,-1.08,989
Intermediate reticular nucleus,IRN,-6.52,5.98,-1.07,979
Intermediate reticular nucleus,IRN,-6.52,6.11,-1.07,979
Nucleus of the solitary tract,NTS,-6.52,5.47,-1.07,949
Linear nucleus of the medulla,LIN,-6.52,6.18,-1.04,981
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,7.05,-1.06,993
Parvicellular reticular nucleus,PARN,-6.52,5.72,-1.05,989
Parvicellular reticular nucleus,PARN,-6.52,5.79,-1.05,989
Intermediate reticular nucleus,IRN,-6.52,6.05,-1.05,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,6.99,-1.05,993
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,7.1,-1.05,993
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,7.03,-1.04,993
Intermediate reticular nucleus,IRN,-6.52,5.89,-1.01,979
Intermediate reticular nucleus,IRN,-6.52,6.32,-1.02,979
Parvicellular reticular nucleus,PARN,-6.52,5.73,-1.01,989
Intermediate reticular nucleus,IRN,-6.52,5.95,-1.02,979
Parvicellular reticular nucleus,PARN,-6.52,5.66,-0.99,989
Linear nucleus of the medulla,LIN,-6.52,6.26,-1,981
Intermediate reticular nucleus,IRN,-6.52,5.82,-0.97,979
Intermediate reticular nucleus,IRN,-6.52,5.72,-0.93,979
Intermediate reticular nucleus,IRN,-6.52,5.85,-0.96,979
Intermediate reticular nucleus,IRN,-6.52,5.94,-0.95,979
Linear nucleus of the medulla,LIN,-6.52,6.14,-0.96,981
Parvicellular reticular nucleus,PARN,-6.52,5.61,-0.94,989
Intermediate reticular nucleus,IRN,-6.52,5.76,-0.92,979
Intermediate reticular nucleus,IRN,-6.52,6.13,-0.93,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,7,-0.92,993
Nucleus of the solitary tract,NTS,-6.52,5.25,-0.91,949
Intermediate reticular nucleus,IRN,-6.52,5.64,-0.91,979
Nucleus of the solitary tract,NTS,-6.52,5.32,-0.87,949
Intermediate reticular nucleus,IRN,-6.52,5.79,-0.91,979
Intermediate reticular nucleus,IRN,-6.52,6.04,-0.89,979
Linear nucleus of the medulla,LIN,-6.52,6.26,-0.89,981
Medulla,MY,-6.52,7.08,-0.89,936
Parvicellular reticular nucleus,PARN,-6.52,5.49,-0.87,989
Intermediate reticular nucleus,IRN,-6.52,5.54,-0.85,979
Intermediate reticular nucleus,IRN,-6.52,5.91,-0.86,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,6.84,-0.85,993
Nucleus of the solitary tract,NTS,-6.52,5.25,-0.84,949
Intermediate reticular nucleus,IRN,-6.52,5.59,-0.84,979
Intermediate reticular nucleus,IRN,-6.52,5.71,-0.85,979
Intermediate reticular nucleus,IRN,-6.52,5.76,-0.84,979
Intermediate reticular nucleus,IRN,-6.52,5.97,-0.83,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,6.77,-0.82,993
Nucleus of the solitary tract,NTS,-6.52,5.43,-0.81,949
Intermediate reticular nucleus,IRN,-6.52,5.62,-0.76,979
Nucleus of the solitary tract,NTS,-6.52,5.39,-0.8,949
Intermediate reticular nucleus,IRN,-6.52,5.48,-0.79,979
Intermediate reticular nucleus,IRN,-6.52,5.54,-0.79,979
Intermediate reticular nucleus,IRN,-6.52,6.02,-0.79,979
Medulla,MY,-6.52,7.16,-0.79,936
Medulla,MY,-6.52,7.27,-0.8,936
Intermediate reticular nucleus,IRN,-6.52,5.71,-0.77,979
Inferior olivary complex,IO,-6.52,7.31,-0.78,978
Inferior olivary complex,IO,-6.52,7.21,-0.77,978
